Hotel_Name,Hotel_Address,Review_Count,Non_Review_Scoring_Count,Average_Hotel_Score,avg_hotel_feature,avg_room,avg_hotel,avg_breakfast,avg_staff,avg_bed,avg_location
The Lanesborough,Hyde Park Corner Westminster Borough London SW1X 7TA United Kingdom,64,18,9.4,7.795814382846828,6.979182447103974,8.778874601729632,6.319335591849118,7.78810297315063,6.20958312150483,7.304625199362043
Nolinski Paris,16 Avenue de l Opera 1st arr 75001 Paris France,437,58,9.4,7.79551179179978,7.315779174872493,7.572084566074951,7.311447641199373,8.15507531619062,5.697127605490595,8.567466864653799
Lansbury Heritage Hotel,117 Poplar High Street Tower Hamlets London E14 0AE United Kingdom,82,23,9.4,7.757672221396215,7.543467557616435,7.682137109129799,7.272947531644502,8.61741151939362,5.872521606507371,7.409489633173845
Rosewood London,252 High Holborn Holborn Camden London WC1V 7EN United Kingdom,1008,256,9.4,7.737447787248625,7.267312044618514,7.883942972867835,6.3816853369616675,8.221716561903598,6.83419275183383,8.090740879186605
The One Barcelona GL,277 Carrer de Proven a Eixample 08037 Barcelona Spain,332,47,9.4,7.71752277423991,7.539795106801999,7.920902240428868,7.075874448375246,8.395837336299742,6.157473309608541,8.160807156230499
Shangri La Hotel at The Shard London,31 St Thomas Street Southwark London SE1 9QU United Kingdom,2200,732,9.4,7.686325623866903,7.630846928180074,7.675020273909411,6.913748458812981,8.0501923424393,6.257589512673397,7.851945040239052
The Savoy,Strand Westminster Borough London WC2R 0EU United Kingdom,1021,315,9.4,7.683406605274664,7.230171842406155,7.743270335938804,7.226131608397487,8.14485651038491,5.887459254164299,8.126356315528016
The Goring,15 Beeston Place Westminster Borough London SW1W 0JW United Kingdom,200,67,9.4,7.599867155784047,7.074492501136192,7.819114132908511,6.555634385902817,8.293144699766028,5.880910015251652,8.71140350877193
Hotel Spadari Al Duomo,Via Spadari 11 Milan City Center 20123 Milan Italy,755,100,9.3,8.369622177208768,7.9499114518296485,7.793128234975164,8.532752256626909,8.726477305287286,5.652039908490087,8.370346235330524
COMO The Halkin,Halkin Street Westminster Borough London SW1X 7DJ United Kingdom,76,27,9.3,8.338864826691927,8.136403996027537,8.331910939159458,8.3188173130404,8.633741214542145,,7.4096225412014896
H tel Fabric,31 rue de la Folie M ricourt 11th arr 75011 Paris France,344,51,9.3,8.30053364357962,8.160011267232239,7.803124148105385,7.926695150932901,8.826635738484098,6.20958312150483,8.321291866028709
Victoire Germain,9 rue Gr goire de Tours 6th arr 75006 Paris France,214,25,9.3,8.294292490494199,7.483717457869102,7.897583404979854,7.478510390858068,9.138589989926139,6.20958312150483,8.470365418894831
Small Luxury Hotel Altstadt Vienna,Kirchengasse 41 07 Neubau 1070 Vienna Austria,664,69,9.3,8.256153263603201,7.843747745651813,8.062198590994084,8.56985410693721,8.800304072223474,5.705102948652771,8.314935064935066
Hotel K nig von Ungarn,Schulerstra e 10 01 Innere Stadt 1010 Vienna Austria,1207,138,9.3,8.210738114917367,7.909149417396274,8.239794877882485,8.213500264794565,8.587411629464446,6.503922678744743,8.306782523566863
Aparthotel Arai 4 Superior,Avinyo 30 Ciutat Vella 08002 Barcelona Spain,520,77,9.3,8.187965637712358,8.050471109500748,7.7577897028094265,5.6604894574505735,8.523109822963544,6.435831850533807,8.300352147464398
Hollmann Beletage Design Boutique,K llnerhofgasse 6 01 Innere Stadt 1010 Vienna Austria,389,43,9.3,8.1808949173828,7.948895355958317,8.25697625075861,8.170485022585158,8.444765384031957,6.1412366548042705,8.163272195640618
H tel Saint Marc,36 Rue Saint Marc 2nd arr 75002 Paris France,377,44,9.3,8.15895680775094,8.215035891997717,8.148604157184039,7.112435231781735,8.691750224303307,4.973055414336553,8.642881908328134
Hotel DO Pla a Reial G L ,Pla a Reial 1 Ciutat Vella 08001 Barcelona Spain,252,40,9.3,8.147588829435955,7.937818279281695,8.049943746442759,8.143098675228801,8.670579302978208,6.040003812913065,8.106264209847637
Canal House,Keizersgracht 148 Amsterdam City Center 1015 CX Amsterdam Netherlands,491,85,9.3,8.143436289520617,7.389951595019453,8.059297299714073,8.136945694493603,8.77121195978012,5.899783934926283,8.622666925298505
Mill sime H tel,15 Rue Jacob 6th arr 75006 Paris France,656,87,9.3,8.134155015105835,8.084836002269412,8.261262930414045,7.260833291196845,8.390471031412009,4.85447381799695,8.200978845715689
Bulgari Hotel London,171 Knightsbridge Westminster Borough London SW7 1DW United Kingdom,169,62,9.3,8.133169989051183,8.10193531283139,8.057143895716381,7.974920362036709,8.339694322464712,,7.796949760765552
Le 123 S bastopol Astotel,123 boulevard S bastopol 2nd arr 75002 Paris France,397,54,9.3,8.130305613413054,7.821675051678388,7.975227716157333,7.968786923172971,8.57344503574405,5.873903787493645,8.601783384080036
Le Relais Montmartre,6 Rue Constance 18th arr 75018 Paris France,744,90,9.3,8.125544764472169,7.916939777601454,7.745314594080311,7.462539982090634,8.586146634108239,5.992374173868836,8.501995697102606
The Hoxton Amsterdam,Herengracht 255 Amsterdam City Center 1016 BJ Amsterdam Netherlands,1075,234,9.3,8.123649577265462,7.776141179643883,8.118364082676212,7.810836236885308,8.595194346478657,6.185383833248602,8.535182588131773
Hotel Rathaus Wein Design,Lange Gasse 13 08 Josefstadt 1080 Vienna Austria,1120,164,9.3,8.115087511603626,7.9034345208195464,7.973844634707597,8.179803493159252,8.6027115802739,5.86556805715356,8.28917142563153
The Zetter Townhouse Marylebone,28 30 Seymour Street Westminster Borough London W1H 7JB United Kingdom,180,45,9.3,8.108201208695311,7.72454634027524,8.43295083407198,6.704505233351874,8.810647503447221,6.0495932892730035,8.42374058186218
Olivia Balmes Hotel,Balmes 117 Eixample 08008 Barcelona Spain,1835,244,9.3,8.09848497109132,7.718575879906061,7.982177741537723,7.732480228527676,8.449312485731053,5.656520081342145,8.277160890029954
H tel Square Louvois,12 Rue de Louvois 2nd arr 75002 Paris France,320,40,9.3,8.07706504398816,7.874946269535411,7.835121994006979,7.082625116199471,8.372776096331236,6.674758515505847,8.247351332877649
H10 Cubik 4 Sup,V a Laietana 69 Ciutat Vella 08003 Barcelona Spain,1398,206,9.3,8.052216552745763,7.6157658545649,7.995065636126498,8.064108893105495,8.574857740732241,5.913420116126615,8.279557364485594
Hotel Dupond Smith,2 rue des Guillemites 4th arr 75004 Paris France,60,13,9.3,8.049553495423947,7.752883762200533,8.193673190714609,5.991303028770794,8.710971077514285,8.911413319776308,8.483094098883573
Olivia Plaza Hotel,Plaza de Catalunya 19 Ciutat Vella 08002 Barcelona Spain,2757,315,9.3,8.046891551324233,7.712278927480867,7.87826009996064,7.7257920916255465,8.579919251831837,5.790448652770717,8.1661692293399
Egerton House,17 19 Egerton Terrace Knightsbridge Kensington and Chelsea London SW3 2BX United Kingdom,199,43,9.3,8.038728232450502,7.64077849509981,7.9750256557763946,8.16478251737644,8.448658661092457,5.866230299949161,8.58542663476874
South Place Hotel,3 South Place City of London London EC2M 2AF United Kingdom,769,235,9.3,8.037337252091692,8.026951189149836,8.036861695460871,6.916094568070348,8.301029202884894,5.378150192461327,8.618157744274924
Palazzo Parigi Hotel Grand Spa Milano,Corso Di Porta Nuova 1 Milan City Center 20121 Milan Italy,534,84,9.3,8.036130957849831,7.808008618939104,8.30670920176562,7.262661172068565,8.507439316301287,6.311006609049314,8.198099415204679
The Montague On The Gardens,15 Montague St Bloomsbury Camden London WC1B 5BJ United Kingdom,931,196,9.3,8.02563746304613,7.659970257529275,8.134636538169765,7.840082618874874,8.440604670116075,6.349174421431886,8.399351704176267
UNA Maison Milano,Via Mazzini 4 Milan City Center 20123 Milan Italy,1108,133,9.3,8.024001984645556,7.691724770960452,7.594897962409057,7.2862540274884635,8.608611980212018,5.439088713777326,8.261496544391283
Amba Hotel Charing Cross,The Strand Westminster Borough London WC2N 5HX United Kingdom,1694,359,9.3,8.004380112274456,7.727953151037721,7.848156901381025,7.620166615576174,8.529292846582681,6.364037874936452,8.17990739090498
Luxury Suites Amsterdam,Oudeschans 75 Amsterdam City Center 1011 KW Amsterdam Netherlands,720,125,9.3,7.988435459638581,7.694453620476509,7.79782888728242,7.1016509076199625,8.478284828967993,7.388011565836299,8.279623514612396
The Nadler Victoria,10 Palace Place Westminster Borough London SW1E 5BW United Kingdom,1608,303,9.3,7.96589184078839,7.651777362089041,7.652100459341036,6.804359230419174,8.584270464807974,6.077957348888235,8.241905389931706
The LaLit London,181 Tooley Street Southwark London SE1 2JR United Kingdom,136,46,9.3,7.963354986297804,7.989843339244499,7.802719346728222,5.835241514313163,8.365387046335876,5.950876970005083,8.627469022205865
Ambassade Hotel,Herengracht 341 Amsterdam City Center 1016 AZ Amsterdam Netherlands,1611,265,9.3,7.954821570347494,7.545471893246518,8.105244938341635,7.7758770495102025,8.418453595426849,6.010819653311904,8.22110187570714
Room Mate Giulia,Silvio Pellico 4 Milan City Center 20121 Milan Italy,2011,254,9.3,7.931219210374092,7.456987290210358,7.9864433622754625,7.679812197670695,8.575875381128958,6.693441789527199,8.07913139492087
Four Seasons Hotel George V Paris,31 Avenue George V 8th arr 75008 Paris France,450,110,9.3,7.912400204147054,7.660460162227571,7.973707382361228,7.317949301377021,8.385015954205178,5.080960854092527,7.751472211998529
Hotel Am Stephansplatz,Stephansplatz 9 01 Innere Stadt 1010 Vienna Austria,520,62,9.3,7.896637933720333,7.703772786951472,7.804030334136195,7.9308771974178764,8.493947751807656,7.01906456532791,7.869686337054759
Hilton London Bankside,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,2319,570,9.3,7.8871274465269225,7.712910285484516,7.79450707208978,7.772598278825785,8.350366198497866,6.192710981189629,8.123059971531958
Andaz Amsterdam Prinsengracht A Hyatt Hotel,Prinsengracht 587 Amsterdam City Center 1067 HT Amsterdam Netherlands,851,145,9.3,7.8862380723318255,7.2360137399683175,8.038998567282965,7.676922687970875,8.24407487232644,6.406799694966955,8.144855381697488
Maison Souquet,10 rue de Bruxelles 9th arr 75009 Paris France,282,56,9.3,7.880953970812945,7.570017800333283,7.737092036278426,7.646243110684128,8.311031371889593,7.428571428571429,8.160597200070885
Le Meurice,228 Rue De Rivoli 1st arr 75001 Paris France,166,21,9.3,7.879645469029165,7.516851402986079,8.526296189018082,7.606563179450878,7.947717045052333,6.20958312150483,8.416951469583049
H tel Le Relais Saint Germain,9 Carrefour de l Od on 6th arr 75006 Paris France,107,20,9.3,7.87085528406247,7.517938599971625,7.670006782867904,8.349455807250848,8.542473580421703,6.20958312150483,8.333377636009216
The Corner Hotel,Mallorca 178 Eixample 08036 Barcelona Spain,460,53,9.3,7.867104490912906,7.88422089658609,7.783113694202787,8.041243194957106,8.252623725695349,6.23329944077275,7.771054365161917
Monument Hotel,Paseo de Gracia 75 Eixample 08008 Barcelona Spain,849,132,9.3,7.834038336317661,7.628389331517388,7.979486052566191,6.82217032411387,8.451779002545045,5.872267412303,8.18132158909671
Hotel Plaza Athenee Paris,25 Avenue Montaigne 8th arr 75008 Paris France,160,34,9.3,7.8296687566432155,7.500583876180376,7.8797476356647955,7.2723049501946715,8.833493451989685,5.684354346720895,7.863935406698566
The Langham London,Portland Place Westminster Borough London W1B 1JA United Kingdom,1276,375,9.3,7.804780665666998,7.35910178526435,7.7717526704256095,7.316938292339331,8.254740010651842,5.896719986927155,8.082561403508773
H tel Le Royal Monceau Raffles Paris,37 Avenue Hoche 8th arr 75008 Paris France,119,6,9.3,7.7800075078875,7.078732459167242,8.073853515175013,8.591545734944633,8.646107220508672,4.908617183528215,8.65311004784689
Claridge s,41 43 Brook Street Westminster Borough London W1K 4HJ United Kingdom,293,71,9.3,7.758885464018456,7.1056509629105955,7.568893287497305,7.285606798410979,8.404565222079123,5.373792577529232,7.734157363104732
Le Tsuba Hotel,45 Rue des Acacias 17th arr 75017 Paris France,287,49,9.3,7.712035439874782,7.675204020471206,7.732753357753357,7.288643373615817,8.452909664986825,6.20958312150483,8.18379186602871
The Ritz London,150 Piccadilly Westminster Borough London W1J 9BR United Kingdom,831,220,9.3,7.698809654792664,7.214978488313136,7.802787023339907,7.501198710449094,8.1074838617249,5.51997966446365,7.799746075715606
Four Seasons Hotel London at Park Lane,Hamilton Place Park Lane Westminster Borough London W1J 7DR United Kingdom,361,102,9.3,7.567147240177838,7.036199225413804,7.499654561414916,6.512594596416713,8.038984337525573,6.142475851550584,8.340563530037215
Hotel Cafe Royal,68 Regent Street West End Mayfair Westminster Borough London W1B 4DY United Kingdom,1128,211,9.3,7.5366579298920175,7.243493060736303,7.7512222250581475,7.247898979279342,8.05522376383468,5.6580484239959326,7.81388013640902
Park Hyatt Vienna,Am Hof 2 01 Innere Stadt 1010 Vienna Austria,532,82,9.3,7.521109914848527,7.210401084402292,7.668786092520478,8.067572754393304,7.9219722317634735,5.843026000435762,7.701651856915016
The Ned,Poultry 27 City of London London EC2R 8AJ United Kingdom,517,175,9.3,7.490359599629783,7.297569710545936,7.752833918804966,6.982344811312804,7.686482691096637,6.6272877478393495,7.698081927306305
The Connaught,Carlos Place Westminster Borough London W1K 2AL United Kingdom,147,53,9.3,7.485536008189154,7.06433368681513,7.149142770444546,7.922539439753249,8.17877142640441,6.357142857142857,7.427910685805424
Shangri La Hotel Paris,10 Avenue D I na 16th arr 75016 Paris France,174,38,9.3,7.356719207819451,7.409032792450077,7.7266137325308915,7.509986347777722,7.6061478340641,,7.98006379585327
Primero Primera,Doctor Carulla 25 Sarri St Gervasi 08017 Barcelona Spain,261,32,9.2,8.363114708289046,8.222470501102526,7.849206725501104,8.36877714292135,8.612894569909031,4.262709710218607,8.305954279638492
Hotel Midmost,Pelayo 14 Ciutat Vella 08001 Barcelona Spain,460,72,9.2,8.315826019691889,7.849321148680355,8.265186318199941,8.0441225216722,8.654101182732926,6.165505846466701,8.713411201801296
B Montmartre,6 Rue Lecluse 17th arr 75017 Paris France,332,46,9.2,8.236004706658475,7.853534875340284,8.522586470071676,7.934075739955045,8.590480636440057,6.20958312150483,8.579730576441104
Staybridge Suites London Vauxhall,100 Vauxhall Walk Lambeth London SE11 5AL United Kingdom,742,94,9.2,8.217821006833494,8.131095161305804,8.14509032993223,8.326354799896396,8.678412679236077,6.109150991357398,8.13788733196628
